state,state population,ethnicity,gender,age group,group population
ME,1328361,NavAm,Male,15-17,221
MD,5773552,NavAm,Male,15-17,472
MA,6547629,NavAm,Male,15-17,470
MI,9883640,NavAm,Male,15-17,1717
MN,5303925,NavAm,Male,15-17,1616
MS,2967297,NavAm,Male,15-17,362
MO,5988927,NavAm,Male,15-17,701
MT,989415,NavAm,Male,15-17,1771
NE,1826341,NavAm,Male,15-17,572
NV,2700551,NavAm,Male,15-17,808
NH,1316470,NavAm,Male,15-17,64
NJ,8791894,NavAm,Male,15-17,713
NM,2059179,NavAm,Male,15-17,5488
NY,19378102,NavAm,Male,15-17,2849
NC,9535483,NavAm,Male,15-17,3183
ND,672591,NavAm,Male,15-17,1109
OH,11536504,NavAm,Male,15-17,564
OK,3751351,NavAm,Male,15-17,9187
OR,3831074,NavAm,Male,15-17,1406
PA,12702379,NavAm,Male,15-17,693
RI,1052567,NavAm,Male,15-17,160
SC,4625364,NavAm,Male,15-17,445
SD,814180,NavAm,Male,15-17,2251
TN,6346105,NavAm,Male,15-17,468
TX,25145561,NavAm,Male,15-17,4665
UT,2763885,NavAm,Male,15-17,1054
VT,625741,NavAm,Male,15-17,51
VA,8001024,NavAm,Male,15-17,646
WA,6724540,NavAm,Male,15-17,2769
WV,1852994,NavAm,Male,15-17,78
WI,5686986,NavAm,Male,15-17,1565
WY,563626,NavAm,Male,15-17,352
PR,3725789,NavAm,Male,15-17,481
AL,4779736,NavAm,Male,18-19,484
AK,710231,NavAm,Male,18-19,2180
AZ,6392017,NavAm,Male,18-19,6241
AR,2915918,NavAm,Male,18-19,413
CA,37253956,NavAm,Male,18-19,6993
CO,5029196,NavAm,Male,18-19,1114
CT,3574097,NavAm,Male,18-19,211
DE,897934,NavAm,Male,18-19,62
DC,601723,NavAm,Male,18-19,32
FL,18801310,NavAm,Male,18-19,1311
GA,9687653,NavAm,Male,18-19,572
HI,1360301,NavAm,Male,18-19,56
ID,1567582,NavAm,Male,18-19,403
IL,12830632,NavAm,Male,18-19,794
IN,6483802,NavAm,Male,18-19,334
IA,3046355,NavAm,Male,18-19,246
KS,2853118,NavAm,Male,18-19,592
KY,4339367,NavAm,Male,18-19,166
LA,4533372,NavAm,Male,18-19,540
ME,1328361,NavAm,Male,18-19,152
MD,5773552,NavAm,Male,18-19,306
MA,6547629,NavAm,Male,18-19,405
MI,9883640,NavAm,Male,18-19,1189
MN,5303925,NavAm,Male,18-19,1286
MS,2967297,NavAm,Male,18-19,285
MO,5988927,NavAm,Male,18-19,485
MT,989415,NavAm,Male,18-19,1196
NE,1826341,NavAm,Male,18-19,355
NV,2700551,NavAm,Male,18-19,529
NH,1316470,NavAm,Male,18-19,65
NJ,8791894,NavAm,Male,18-19,509
NM,2059179,NavAm,Male,18-19,3760
NY,19378102,NavAm,Male,18-19,2060
NC,9535483,NavAm,Male,18-19,2089
ND,672591,NavAm,Male,18-19,754
OH,11536504,NavAm,Male,18-19,439
OK,3751351,NavAm,Male,18-19,6101
OR,3831074,NavAm,Male,18-19,1002
PA,12702379,NavAm,Male,18-19,525
RI,1052567,NavAm,Male,18-19,142
SC,4625364,NavAm,Male,18-19,356
